time,x_cordinate,y_cordinate,Speed_X,Speed_Y
21.95,1049,949,1,1
21.98,1050,950,1,1
22.01,1051,951,1,1
22.06,1052,952,1,1
22.08,1053,953,1,1
22.11,1054,954,1,1
22.15,1055,955,1,1
22.18,1056,956,1,1
22.21,1057,957,1,1
22.24,1058,958,1,1
22.27,1059,959,1,1
22.3,1060,960,1,1
22.35,1061,961,1,1
22.38,1062,962,1,1
22.42,1063,963,1,1
22.45,1064,964,1,1
22.48,1065,965,1,1
22.51,1066,966,1,1
22.55,1067,967,1,1
22.58,1068,968,1,1
22.62,1069,969,1,1
22.65,1070,970,1,1
22.67,1071,971,1,1
22.7,1072,972,1,1
22.75,1073,973,1,1
22.78,1074,974,1,1
22.82,1075,975,1,1
22.85,1076,976,1,1
22.89,1077,977,1,1
22.91,1078,978,1,1
22.95,1079,979,1,1
22.98,1080,980,1,1
23.01,1081,981,1,1
23.05,1082,982,1,1
23.07,1083,983,1,1
23.1,1084,984,1,1
23.15,1085,985,1,1
23.18,1086,986,1,1
23.21,1087,987,1,1
23.26,1088,988,1,1
23.28,1089,989,1,1
23.31,1090,990,1,1
23.35,1091,991,1,1
23.38,1092,992,1,1
23.41,1093,993,1,1
23.45,1094,994,1,1
23.47,1095,995,1,1
23.5,1096,996,1,1
23.55,1097,997,1,1
23.59,1098,998,1,1
23.62,1099,999,1,1
23.65,1100,1000,1,1
23.68,1101,1001,1,1
23.72,1102,1002,1,1
23.75,1103,1003,1,1
23.78,1104,1004,1,1
23.8,1105,1005,1,1
23.83,1106,1006,1,1
23.86,1107,1007,1,1
23.9,1108,1008,1,1
23.95,1109,1009,1,1
23.98,1110,1010,1,1
24.01,1111,1011,1,1
24.05,1112,1012,1,1
24.08,1113,1013,1,1
24.11,1114,1014,1,1
24.14,1115,1015,1,1
24.17,1116,1016,1,1
24.21,1117,1017,1,1
24.24,1118,1018,1,1
24.27,1119,1019,1,1
24.3,1120,1020,1,1
24.35,1121,1021,1,1
24.38,1122,1022,1,1
24.42,1123,1023,1,1
24.45,1124,1024,1,1
24.48,1125,1025,1,1
24.51,1126,1026,1,1
24.54,1127,1027,1,1
24.57,1128,1028,1,1
24.6,1129,1029,1,1
24.64,1130,1030,1,1
24.67,1131,1031,1,1
24.7,1132,1032,1,1
24.75,1133,1033,1,1
24.78,1134,1034,1,1
24.81,1135,1035,1,1
24.85,1136,1036,1,1
24.88,1137,1037,1,1
24.91,1138,1038,1,1
24.94,1139,1039,1,1
24.97,1140,1040,1,1
25.0,1141,1041,1,1
25.04,1142,1042,1,1
25.07,1143,1043,1,1
25.1,1144,1044,1,1
25.15,1145,1045,1,1
25.18,1146,1046,1,1
25.22,1147,1047,1,1
25.25,1148,1048,1,1
25.28,1149,1049,1,1
25.31,1150,1050,1,1
25.34,1151,1051,1,1
25.37,1152,1052,1,1
25.4,1153,1053,1,1
25.44,1154,1054,1,1
25.47,1155,1055,1,1
25.5,1156,1056,1,1
25.55,1157,1057,1,1
25.58,1158,1058,1,1
25.62,1159,1059,1,1
25.65,1160,1060,1,1
25.68,1161,1061,1,1
25.71,1162,1062,1,1
25.75,1163,1063,1,1
25.77,1164,1064,1,1
25.8,1165,1065,1,1
25.84,1166,1066,1,1
25.87,1167,1067,1,1
25.9,1168,1068,1,1
25.95,1169,1069,1,1
25.99,1170,1070,1,1
26.02,1171,1071,1,1
26.05,1172,1072,1,1
26.09,1173,1073,1,1
26.11,1174,1074,1,1
26.14,1175,1075,1,1
26.17,1176,1076,1,1
26.21,1177,1077,1,1
26.23,1178,1078,1,1
26.27,1179,1079,1,1
26.3,1180,1080,1,1
26.35,1181,1081,1,1
26.39,1182,1082,1,1
26.42,1183,1083,1,1
26.45,1184,1084,1,1
26.48,1185,1085,1,1
26.51,1186,1086,1,1
26.54,1187,1087,1,1
26.57,1188,1088,1,1
26.6,1189,1089,1,1
26.64,1190,1090,1,1
26.67,1191,1091,1,1
26.7,1192,1092,1,1
26.75,1193,1093,1,1
26.8,1194,1094,1,1
26.82,1195,1095,1,1
26.85,1196,1096,1,1
26.88,1197,1097,1,1
26.91,1198,1098,1,1
26.95,1199,1099,1,1
26.97,1200,1100,1,1
27.0,1201,1101,1,1
27.03,1202,1102,1,1
27.07,1203,1103,1,1
27.1,1204,1104,1,1
27.15,1205,1105,1,1
27.19,1206,1106,1,1
27.22,1207,1107,1,1
27.25,1208,1108,1,1
27.28,1209,1109,1,1
27.32,1210,1110,1,1
27.35,1211,1111,1,1
27.38,1212,1112,1,1
27.41,1213,1113,1,1
27.45,1214,1114,1,1
27.48,1215,1115,1,1
27.5,1216,1116,1,1
27.55,1217,1117,1,1
27.6,1218,1118,1,1
27.62,1219,1119,1,1
27.65,1220,1120,1,1
27.69,1221,1121,1,1
27.71,1222,1122,1,1
27.75,1223,1123,1,1
27.77,1224,1124,1,1
27.8,1225,1125,1,1
27.84,1226,1126,1,1
27.87,1227,1127,1,1
27.9,1228,1128,1,1
27.96,1229,1129,1,1
27.98,1230,1130,1,1
28.02,1231,1131,1,1
28.05,1232,1132,1,1
28.08,1233,1133,1,1
28.11,1234,1134,1,1
28.14,1235,1135,1,1
28.17,1236,1136,1,1
28.2,1237,1137,1,1
28.24,1238,1138,1,1
28.27,1239,1139,1,1
28.3,1240,1140,1,1
28.35,1241,1141,1,1
28.39,1242,1142,1,1
28.42,1243,1143,1,1
28.45,1244,1144,1,1
28.49,1245,1145,1,1
28.51,1246,1146,1,1
28.54,1247,1147,1,1
28.57,1248,1148,1,1
28.6,1249,1149,1,1
28.63,1250,1150,1,1
28.67,1251,1151,1,1
28.7,1252,1152,1,1
28.76,1253,1153,1,1
28.78,1254,1154,1,1
28.82,1255,1155,1,1
28.85,1256,1156,1,1
28.88,1257,1157,1,1
28.91,1258,1158,1,1
28.94,1259,1159,1,1
28.97,1260,1160,1,1
29.0,1261,1161,1,1
29.04,1262,1162,1,1
29.07,1263,1163,1,1
29.1,1264,1164,1,1
29.15,1265,1165,1,1
29.19,1266,1166,1,1
29.23,1267,1167,1,1
29.25,1268,1168,1,1
29.29,1269,1169,1,1
29.32,1270,1170,1,1
29.34,1271,1171,1,1
29.37,1272,1172,1,1
29.4,1273,1173,1,1
29.44,1274,1174,1,1
29.47,1275,1175,1,1
29.5,1276,1176,1,1
29.55,1277,1177,1,1
29.59,1278,1178,1,1
29.62,1279,1179,1,1
29.65,1280,1180,1,1
29.68,1281,1181,1,1
29.71,1282,1182,1,1
29.74,1283,1183,1,1
29.77,1284,1184,1,1
29.8,1285,1185,1,1
29.84,1286,1186,1,1
29.87,1287,1187,1,1
29.9,1288,1188,1,1
29.95,1289,1189,1,1
29.99,1290,1190,1,1
30.02,1291,1191,1,1
30.05,1292,1192,1,1
30.07,1293,1193,1,1
30.11,1294,1194,1,1
30.14,1295,1195,1,1
30.18,1296,1196,1,1
30.21,1297,1197,1,1
30.24,1298,1198,1,1
30.27,1299,1199,1,1
30.31,1300,1200,1,1
30.35,1301,1201,1,1
30.39,1302,1202,1,1
30.42,1303,1203,1,1
30.45,1304,1204,1,1
30.48,1305,1205,1,1
30.51,1306,1206,1,1
30.54,1307,1207,1,1
30.57,1308,1208,1,1
30.6,1309,1209,1,1
30.64,1310,1210,1,1
30.67,1311,1211,1,1
30.7,1312,1212,1,1
30.75,1313,1213,1,1
30.79,1314,1214,1,1
30.82,1315,1215,1,1
30.84,1316,1216,1,1
30.88,1317,1217,1,1
30.91,1318,1218,1,1
30.94,1319,1219,1,1
30.97,1320,1220,1,1
31.01,1321,1221,1,1
31.04,1322,1222,1,1
31.07,1323,1223,1,1
31.11,1324,1224,1,1
31.15,1325,1225,1,1
31.19,1326,1226,1,1
31.22,1327,1227,1,1
31.24,1328,1228,1,1
31.28,1329,1229,1,1
31.31,1330,1230,1,1
31.34,1331,1231,1,1
31.37,1332,1232,1,1
31.4,1333,1233,1,1
31.44,1334,1234,1,1
31.47,1335,1235,1,1
31.51,1336,1236,1,1
31.55,1337,1237,1,1
31.59,1338,1238,1,1
31.62,1339,1239,1,1
31.65,1340,1240,1,1
31.68,1341,1241,1,1
31.71,1342,1242,1,1
31.74,1343,1243,1,1
31.77,1344,1244,1,1
31.81,1345,1245,1,1
31.84,1346,1246,1,1
31.87,1347,1247,1,1
31.9,1348,1248,1,1
31.96,1349,1249,1,1
31.99,1350,1250,1,1
32.02,1351,1251,1,1
32.04,1352,1252,1,1
32.08,1353,1253,1,1
32.11,1354,1254,1,1
32.14,1355,1255,1,1
32.17,1356,1256,1,1
32.21,1357,1257,1,1
32.24,1358,1258,1,1
32.27,1359,1259,1,1
32.31,1360,1260,1,1
32.35,1361,1261,1,1
32.39,1362,1262,1,1
32.42,1363,1263,1,1
32.46,1364,1264,1,1
32.49,1365,1265,1,1
32.52,1366,1266,1,1
32.55,1367,1267,1,1
32.59,1368,1268,1,1
32.62,1369,1269,1,1
32.64,1370,1270,1,1
32.67,1371,1271,1,1
32.7,1372,1272,1,1
32.75,1373,1273,1,1
32.79,1374,1274,1,1
32.82,1375,1275,1,1
32.85,1376,1276,1,1
32.87,1377,1277,1,1
32.91,1378,1278,1,1
32.94,1379,1279,1,1
32.97,1380,1280,1,1
33.01,1381,1281,1,1
33.04,1382,1282,1,1
33.07,1383,1283,1,1
33.11,1384,1284,1,1
33.16,1385,1285,1,1
33.18,1386,1286,1,1
33.21,1387,1287,1,1
33.24,1388,1288,1,1
33.28,1389,1289,1,1
33.31,1390,1290,1,1
33.34,1391,1291,1,1
33.37,1392,1292,1,1
33.41,1393,1293,1,1
33.44,1394,1294,1,1
33.48,1395,1295,1,1
33.5,1396,1296,1,1
33.55,1397,1297,1,1
33.59,1398,1298,1,1
33.62,1399,1299,1,1
33.65,1400,1300,1,1
33.68,1401,1301,1,1
33.71,1402,1302,1,1
33.74,1403,1303,1,1
33.78,1404,1304,1,1
33.81,1405,1305,1,1
33.84,1406,1306,1,1
33.87,1407,1307,1,1
33.91,1408,1308,1,1
33.95,1409,1309,1,1
33.99,1410,1310,1,1
34.01,1411,1311,1,1
34.04,1412,1312,1,1
34.08,1413,1313,1,1
34.11,1414,1314,1,1
34.14,1415,1315,1,1
34.18,1416,1316,1,1
34.21,1417,1317,1,1
34.25,1418,1318,1,1
34.27,1419,1319,1,1
34.31,1420,1320,1,1
34.35,1421,1321,1,1
34.39,1422,1322,1,1
34.41,1423,1323,1,1
34.44,1424,1324,1,1
34.47,1425,1325,1,1
34.51,1426,1326,1,1
34.54,1427,1327,1,1
34.57,1428,1328,1,1
34.61,1429,1329,1,1
34.65,1430,1330,1,1
34.67,1431,1331,1,1
34.71,1432,1332,1,1
34.76,1433,1333,1,1
34.78,1434,1334,1,1
34.81,1435,1335,1,1
34.84,1436,1336,1,1
34.88,1437,1337,1,1
34.91,1438,1338,1,1
34.95,1439,1339,1,1
34.97,1440,1340,1,1
35.01,1441,1341,1,1
35.04,1442,1342,1,1
35.07,1443,1343,1,1
35.11,1444,1344,1,1
35.16,1445,1345,1,1
35.18,1446,1346,1,1
35.21,1447,1347,1,1
35.24,1448,1348,1,1
35.28,1449,1349,1,1
35.31,1450,1350,1,1
35.34,1451,1351,1,1
35.38,1452,1352,1,1
35.42,1453,1353,1,1
35.44,1454,1354,1,1
35.47,1455,1355,1,1
35.51,1456,1356,1,1
35.56,1457,1357,1,1
35.58,1458,1358,1,1
35.61,1459,1359,1,1
35.64,1460,1360,1,1
35.68,1461,1361,1,1
35.71,1462,1362,1,1
35.74,1463,1363,1,1
35.78,1464,1364,1,1
35.82,1465,1365,1,1
35.84,1466,1366,1,1
35.88,1467,1367,1,1
35.91,1468,1368,1,1
35.95,1469,1369,1,1
35.98,1470,1370,1,1
36.01,1471,1371,1,1
36.04,1472,1372,1,1
36.08,1473,1373,1,1
36.11,1474,1374,1,1
36.14,1475,1375,1,1
36.18,1476,1376,1,1
36.21,1477,1377,1,1
36.24,1478,1378,1,1
36.28,1479,1379,1,1
36.31,1480,1380,1,1
36.35,1481,1381,1,1
36.38,1482,1382,1,1
36.41,1483,1383,1,1
36.44,1484,1384,1,1
