Frame,Time,Pitch(rad),Yaw(rad),Pitch(deg),Yaw(deg),ScreenX,ScreenY,Distance(cm)
246,12.3,-0.09001139,-0.016809873,-5.1572723,-0.96313477,1772,806,130.68416
247,12.35,-0.1590368,-0.0785028,-9.112137,-4.4978786,2155,1124,130.68416
248,12.4,-0.5704382,-0.2786013,-32.6837,-15.962677,2559,1439,137.48875
249,12.45,-0.515347,-0.2345715,-29.527206,-13.439957,2559,1439,137.48875
250,12.5,-0.108450845,-0.0027486486,-6.213775,-0.15748596,1905,734,137.48875
251,12.55,-0.10403106,0.031180292,-5.960541,1.786499,1879,551,137.48875
252,12.6,-0.13137402,0.043030825,-7.5271764,2.4654844,2038,487,137.48875
253,12.65,-0.11605843,0.033708695,-6.6496577,1.9313658,1949,537,137.48875
254,12.7,-0.114262134,0.033953443,-6.5467377,1.9453889,1938,536,137.48875
255,12.75,-0.107458286,0.020095149,-6.156906,1.1513672,1899,611,137.48875
256,12.8,-0.08977357,-0.0025268074,-5.1436467,-0.14477539,1796,733,137.48875
257,12.85,-0.1220825,-0.0097461045,-6.9948115,-0.55841064,1984,772,137.48875
258,12.9,-0.088788465,0.014772556,-5.087204,0.846405,1793,639,138.05728
259,12.95,-0.07888257,-0.0085617965,-4.519638,-0.49055478,1758,768,145.03629
260,13.0,-0.08740974,-0.008939433,-5.008209,-0.5121918,1785,768,138.05728
261,13.05,-0.09705571,-0.0025470473,-5.560882,-0.14593506,1841,733,138.05728
262,13.1,-0.092948586,0.017776601,-5.3255615,1.0185242,1817,623,138.05728
263,13.15,-0.09623332,0.011008442,-5.513763,0.63073725,1836,660,138.05728
264,13.2,-0.10545159,0.039835565,-6.0419307,2.2824097,1921,492,145.03629
265,13.25,-0.09947573,0.01571638,-5.699539,0.9004822,1884,630,145.03629
266,13.3,-0.10047388,0.0055263257,-5.756729,0.31663513,1890,688,145.03629
267,13.35,-0.118420124,-0.01584288,-6.784973,-0.90773004,1965,806,138.05728
268,13.4,-0.11113531,-0.038335938,-6.3675838,-2.1964874,1923,928,138.05728
269,13.45,-0.10490378,-0.027152525,-6.0105433,-1.555725,1884,866,137.48875
270,13.5,-0.11278035,-0.008280301,-6.461838,-0.47442624,1930,764,137.48875
271,13.55,-0.10032581,-0.009896307,-5.7482452,-0.5670166,1857,773,137.48875
