Frame,Time (s),Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),Screen X (px),Screen Y (px),Distance (cm)
153,7.65,0.029820748,0.03189588,1.7086029,1.8274992,1108,546,138.05728
154,7.7,0.03580753,-0.0076446044,2.0516202,-0.43800354,1073,761,138.05728
155,7.75,0.030821297,-0.006531935,1.7659302,-0.3742523,1102,755,138.05728
156,7.8,0.033190444,0.020663735,1.9016722,1.1839447,1088,607,138.05728
157,7.85,0.026845463,0.015084411,1.5381316,0.864273,1125,638,138.05728
158,7.9,0.02575996,0.015193334,1.4759369,0.87051386,1131,637,138.05728
159,7.95,0.026256105,0.0051079434,1.5043639,0.29266357,1128,692,138.05728
160,8.0,0.029915554,0.010731741,1.7140349,0.6148834,1107,661,138.05728
161,8.05,0.027658261,0.010969294,1.5847015,0.6284942,1120,660,138.05728
162,8.1,0.03250175,0.01630041,1.862213,0.93394464,1092,631,138.05728
163,8.15,0.03779718,0.02264326,2.1656187,1.2973632,1061,596,138.05728
164,8.2,0.035177696,0.008690693,2.0155334,0.49794003,1077,672,138.05728
165,8.25,0.023953004,0.01673264,1.372406,0.95870966,1142,629,137.48875
166,8.3,0.016704412,0.030456444,0.9570923,1.7450256,1184,555,137.48875
167,8.35,0.020085562,0.031153925,1.1508179,1.7849883,1157,541,145.92883
168,8.4,0.026232405,0.034155574,1.503006,1.9569701,1128,534,138.05728
169,8.45,0.029295571,0.036810745,1.6785125,2.1091,1111,519,138.05728
170,8.5,0.040644366,0.03271427,2.3287506,1.8743895,1045,542,138.05728
171,8.55,0.034010965,0.029190376,1.9486847,1.6724852,1083,561,138.05728
172,8.6,0.02980317,0.025490712,1.7075957,1.4605101,1107,581,138.24837
173,8.65,0.028700886,0.025784725,1.6444396,1.4773558,1114,579,138.24837
174,8.7,0.030884948,0.02855761,1.769577,1.6362305,1101,564,138.05728
175,8.75,0.012984775,0.03678092,0.7439728,2.1073914,1205,520,138.05728
176,8.8,0.025178324,0.034592867,1.4426117,1.9820251,1134,531,138.24837
177,8.85,0.03474067,0.03488901,1.9904938,1.9989928,1079,530,138.24837
178,8.9,0.01065584,0.03851171,0.6105346,2.2065582,1218,510,138.24837
179,8.95,0.036035232,0.04266171,2.0646665,2.444336,1071,487,138.24837
180,9.0,0.019015502,0.03075392,1.0895079,1.7620697,1170,552,138.24837
181,9.05,0.02557993,0.023716249,1.465622,1.3588408,1132,591,138.05728
182,9.1,0.02930862,0.029170938,1.6792601,1.6713716,1110,561,138.05728
183,9.15,0.025141306,0.032567266,1.4404906,1.8659668,1135,543,138.05728
184,9.2,0.026371421,0.023321303,1.5109711,1.3362122,1127,593,138.24837
185,9.25,-0.002518285,0.02867532,-0.1442871,1.6429747,1294,563,138.24837
186,9.3,0.01811722,0.022258967,1.0380402,1.2753448,1175,599,138.05728
187,9.35,0.017121464,0.033001896,0.98098755,1.8908693,1181,540,138.05728
188,9.4,0.0037420078,0.04164039,0.21440125,2.3858185,1258,493,138.05728
189,9.45,0.0012482237,0.027203126,0.071517944,1.5586243,1272,572,138.05728
190,9.5,0.0055819857,0.030023681,0.31982422,1.7202301,1247,556,138.05728
191,9.55,0.0036679718,0.036854688,0.21015929,2.111618,1258,519,138.05728
192,9.6,-0.0029792783,0.035393145,-0.17070006,2.0278778,1297,527,138.05728
193,9.65,0.00055207335,0.03171692,0.03163147,1.8172456,1276,547,138.05728
194,9.7,-0.0056818547,0.036861613,-0.32554626,2.1120148,1312,519,138.24837
195,9.75,-0.012546951,0.027427895,-0.71888727,1.5715026,1352,570,138.24837
196,9.8,-0.014268684,0.02911794,-0.81753534,1.668335,1362,561,138.24837
197,9.85,-0.0125650605,0.029053757,-0.7199249,1.6646576,1352,561,138.24837
198,9.9,-0.018773954,0.025261147,-1.0756683,1.447357,1388,582,138.24837
199,9.95,-0.007473629,0.023742082,-0.42820737,1.360321,1323,590,138.24837
200,10.0,-0.0067055738,0.004243481,-0.38420105,0.24313353,1316,698,131.17209
201,10.05,-0.01355043,-0.0028056402,-0.7763824,-0.16075133,1354,734,131.17209
202,10.1,-0.0023635554,0.0047422913,-0.13542174,0.27171326,1293,694,138.24837
203,10.15,-0.008300807,0.00400353,-0.4756012,0.22938536,1327,698,138.05728
204,10.2,-0.016962206,0.022028605,-0.97186273,1.262146,1377,600,138.05728
205,10.25,-0.018834142,0.03466344,-1.0791168,1.9860686,1388,531,138.24837
206,10.3,-0.015658323,0.034491666,-0.89715576,1.9762268,1370,532,138.24837
