Frame,time,Pitch (rad),Yaw (rad),Pitch (deg),Yaw (deg),x_cordinate,y_cordinate,Distance (cm)
299,14.95,-0.21085338,-0.045768823,-12.081008,-2.6223602,2013,867,82.044914
300,15.0,-0.20360054,-0.07444548,-11.665451,-4.2654114,1987,960,82.044914
301,15.05,-0.20521466,-0.036757484,-11.757934,-2.1060486,1993,838,82.044914
302,15.1,-0.20035067,-0.066927105,-11.479247,-3.8346405,1975,936,82.044914
303,15.15,-0.16943404,-0.06270999,-9.707855,-3.5930173,1847,916,79.45176
304,15.2,-0.17276219,-0.06390708,-9.898543,-3.6616058,1896,932,84.557076
305,15.25,-0.17768665,-0.06548207,-10.180695,-3.751846,1914,938,84.557076
306,15.3,-0.17624934,-0.051311128,-10.098343,-2.939911,1908,890,84.557076
307,15.35,-0.21307047,-0.041270744,-12.208037,-2.3646393,2020,853,81.92512
308,15.4,-0.2044357,-0.06675826,-11.713303,-3.8249664,1990,935,82.044914
309,15.45,-0.20670605,-0.07122864,-11.843384,-4.0811,1998,950,82.044914
310,15.5,-0.2054043,-0.07277035,-11.768799,-4.1694336,1993,955,82.044914
311,15.55,-0.17271985,-0.040317595,-9.896118,-2.3100278,1896,854,84.557076
312,15.6,-0.18750864,-0.0701205,-10.743453,-4.017608,1950,953,84.557076
313,15.65,-0.20583786,-0.04147261,-11.79364,-2.3762054,2017,858,84.557076
314,15.7,-0.19501211,-0.047462862,-11.17337,-2.7194216,1978,878,84.68882
315,15.75,-0.2044325,-0.009027051,-11.713119,-0.5172119,2013,750,84.68882
316,15.8,-0.19954346,0.013233781,-11.432998,0.75823975,1972,677,82.044914
317,15.85,-0.20039809,0.010254769,-11.481964,0.58755493,1975,686,82.044914
318,15.9,-0.2334756,0.015862852,-13.377166,0.90887445,2095,668,82.08497
319,15.95,-0.23649669,0.01925945,-13.5502615,1.1034851,2105,657,82.044914
320,16.0,-0.23500533,0.022489863,-13.464813,1.2885741,2100,647,82.044914
321,16.05,-0.22486083,0.010475278,-12.883576,0.6001892,2064,686,82.08497
